"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"trend",0.0340265455939908,0.0354538530806807,-0.0325141783290886,0.0110312603715585,0.0331902036036486,0.0552533379395709,0.108741896009097,1.00907129923447,364,1,0.842833333333333
"totalN[1]",615.8847,190.10459278456,369,480,576,706,1091,1.00796037761756,1579,0,1
"totalN[2]",676.1337,210.770428737282,380,527,638,777,1214,1.01725978495785,229,0,1
"totalN[3]",704.917433333333,223.464018777823,429,556,661,797,1262,1.03382056727058,455,0,1
"totalN[4]",820.077666666667,252.127047939788,479,649.75,773,928,1472,1.01278078080601,356,0,1
"totalN[5]",936.012433333333,259.717013644309,595.975,754,883,1054,1582.025,1.00949875604599,667,0,1
"totalN[6]",1007.70563333333,232.593337329951,687,851,967,1116,1574.025,1.0121596898452,879,0,1
"totalN[7]",902.323833333333,167.813791092751,659,785,873.5,987,1307.025,1.00836352192562,384,0,1
"totalN[8]",1230.5935,307.571627107048,807,1010,1171,1392,1976.025,1.00419485757011,795,0,1
"totalN[9]",908.5509,283.575938306273,491,714,864,1051,1597,1.01550116398552,581,0,1
"totalN[10]",1023.25493333333,538.47197928776,421,732,922,1175,2250.025,1.00887545950827,1278,0,1
"totalN[11]",873.8153,201.053357265326,590,728,837,981,1353,1.00323249462684,1851,0,1
"totalN[12]",982.926833333333,304.712631845546,547,768,925,1141.25,1728.025,1.01957606933943,155,0,1
"totalN[13]",689.220866666667,181.077921878148,484,574,647,748,1170,1.04583368329693,243,0,1
"totalN[14]",1547.86513333333,792.683096384693,763,1082,1342.5,1760,3549.025,1.06888079444845,175,0,1
"fit",1702.52795423039,55.7562550046051,1589.31232785174,1665.78346980915,1704.13104538667,1740.60148496156,1808.33834697745,1.00160037479491,1677,0,1
"fit.new",1684.85528078285,58.1119949891987,1567.02336289929,1646.93540791316,1685.87020079235,1723.78501057159,1796.05855986467,1.00118296043043,2277,0,1
"anndet[1]",0.245834297668911,0.0662675861647379,0.127581423987426,0.197385551629881,0.242186597314142,0.291285595222169,0.380263114768348,1.00471835687239,1060,0,1
"anndet[2]",0.177654444403225,0.0515452756930176,0.0902988779685206,0.140987547241788,0.172570564343354,0.209310996490932,0.293008177551991,1.01285152725392,227,0,1
"anndet[3]",0.236056091123712,0.0612407621252693,0.121592895439999,0.192953321892813,0.23306379976606,0.277818707733289,0.360146440372245,1.00636452500126,1228,0,1
"anndet[4]",0.158032680422998,0.0431585768850076,0.0805716159445262,0.12833561460042,0.154839237214167,0.185025805826517,0.252529631792343,1.00625323380683,463,0,1
"anndet[5]",0.185415375634214,0.0446613845571338,0.102460977824061,0.153898612220982,0.18408935362714,0.216353566737867,0.27490674044297,1.00475937514859,716,0,1
"anndet[6]",0.218633083220419,0.0443801639458911,0.133330981755709,0.188174901851885,0.218193548547166,0.248215083095765,0.307678161644767,1.00210000559848,2254,0,1
"anndet[7]",0.276995055675865,0.0474370347720974,0.184125176161372,0.244894165147079,0.277148095883967,0.308949944484905,0.369826346242658,1.00724811140764,376,0,1
"anndet[8]",0.211001400223555,0.0479008223792424,0.123253322645744,0.176061117841969,0.209840981348608,0.243629853145768,0.307488317609104,1.00330097285873,842,0,1
"anndet[9]",0.103715261482861,0.0314066713827955,0.0532701582299261,0.0817271368585401,0.0997114782411258,0.121181438052648,0.177157134270198,1.00398720048287,3087,0,1
"anndet[10]",0.463707693364831,0.281460867945224,0.0226161680075258,0.221830077869997,0.448041359348305,0.696192058376172,0.968043064981687,0.999963228574414,30000,0,1
"anndet[11]",0.222978578920004,0.0475256619449347,0.136451420942362,0.18878963720777,0.221735331002549,0.255792416339757,0.316697771274434,1.00152545009976,2146,0,1
"anndet[12]",0.13841307125279,0.0408016977602555,0.0714089373731498,0.108681190824067,0.13493823889421,0.162860375871971,0.230725006964223,1.0251176372314,130,0,1
"anndet[13]",0.352857290420113,0.0715577572934368,0.196725903967865,0.308035766483262,0.356982864081669,0.402787468176915,0.479955402357011,1.00955439044702,479,0,1
"anndet[14]",0.0858956459683023,0.0309382298714254,0.0311726136743932,0.0638571383601774,0.0841387540530802,0.105537758006185,0.15241598822071,1.00630726890993,529,0,1
"deviance",9034.5034881764,136.338249762695,8743.46894890608,8948.86566878112,9039.96740981381,9128.05376426257,9285.93352188054,1.00540304068798,861,0,1
