"species","timeframe","trend","lower95CI","upper95CI","pval","slope"
"MTOR","2011-2023",0.108,0.02,0.196,0.209033333333333,1.03196396167609
"FOTH","2011-2023",0.004,-0.069,0.08,0.2828,1.02073467480512
"BRQD","2011-2023",0.033,-0.095,0.339,0.2894,1.0231970747234
"TREM","2011-2023",0.066,0.01,0.123,0.3877,1.01230328981008
"ACHU","2011-2023",0.031,-0.048,0.117,0.9935,0.915351229267504
"PTCA","2011-2023",0.075,0.003,0.139,0.9957,0.909359051511329
"PETH","2011-2023",-0.017,-0.094,0.058,0.9931,0.915075341264936
"GTCA","2011-2023",-0.157,-0.308,-0.031,0.4155,1.01847601141613
"SBTH","2011-2023",0.062,-0.018,0.139,0.818866666666667,0.970016468187248
"SNPI","2011-2023",0.066,-0.025,0.149,0.1986,1.03073925554617
"CAEL","2011-2023",-0.227,-0.525,0.022,0.4992,0.999955253062703
"BANA","2011-2023",0.006,-0.085,0.071,1,0.850508947584915
